Day,T,pH,Ammonia,Nitrate,TN,OM,AR,cNH3,,C/N Ratio,exp_id,stage
6,54.98352554,8.433164129,9833.333333,210.0519931,1.918326628,54.84615385,0.218012999,0.045112782,,16.58388818,29,2
8,51.00494234,8.187817259,9895.833333,202.7729636,2.008670154,54.69230769,0.218755803,0.098406015,,15.79357185,29,2
4,52.56177924,7.054145516,8062.5,219.4107452,2.114798217,57.11538462,0.2053407,0.001684211,,15.6655955,30,2
6,55.44481054,7.942470389,10333.33333,190.2946274,2.028850891,50.88461538,0.235174954,0.002526316,,14.54785972,30,2
6,53.78093689,8.539256198,3395.316804,97.52066116,1.785671642,52.0137931,0.178286988,1.014928263,,16.89583512,31,2
9,52.07709824,8.420454545,2706.61157,127.2727273,2.120597015,43.57241379,0.209649919,1.826870873,,11.91835212,31,2
6,51.40845804,8.926652893,4194.214876,50.41322314,1.714029851,56.42758621,0.159423082,1.484332584,,19.09571087,32,2
9,52.68405986,8.751033058,3498.62259,70.24793388,2.029253731,47.71034483,0.191317792,2.58806707,,13.63763117,32,2
12,50.37338972,8.539256198,2885.674931,209.0909091,2.109850746,38.44137931,0.225231154,3.222397234,,10.56841763,32,2
6,53.06369551,8.616735537,3498.62259,112.3966942,1.774925373,51.1862069,0.181361786,1.135450994,,16.72767525,33,2
9,50.97371503,8.477272727,3099.173554,152.0661157,2.079402985,44.0137931,0.208010028,1.928363699,,12.27758284,33,2
6,51.90507482,8.797520661,3898.071625,40.49586777,1.719402985,53.6137931,0.169460182,1.262317027,,18.08679417,34,2
9,53.07033182,8.678719008,3002.754821,109.9173554,2.079402985,45.00689655,0.200903284,2.131349352,,12.55460758,34,2
12,50.64931685,8.487603306,2396.694215,290.9090909,2.228059701,37.44827586,0.228516778,2.55000726,,9.749172217,34,2
4,54.92776886,8.390459364,1507.279601,163.8709677,1.358714044,45.44921875,0.17178473,0.258382839,,19.40265209,35,2
4,52.74478331,8.399293286,1073.954311,105.8064516,1.551607445,48.8671875,0.158267834,0.198401109,,18.26830392,36,2
4,54.09309791,8.368374558,1203.120978,96.77419355,1.494077834,49.40429688,0.158777415,0.221471005,,19.1802489,37,2
4,54.9266055,8.394495413,1513.72549,163.4584013,1.352941176,45.48623853,0.171925071,0.260873396,,19.5013128,38,2
4,54.09174312,8.262385321,1207.843137,96.9004894,1.48627451,49.44954128,0.159147772,0.218107265,,19.29860762,39,2
4,53.44954128,8.064220183,968.627451,43.06688418,1.556862745,52.67889908,0.14872159,0.158234683,,19.62678217,40,2
6,61.3129771,7.57478625,1772.727273,90.25630906,2.153555219,45.35687273,0.221329877,0.005980798,,12.21658524,41,2
7,72.0610687,7.542598719,1681.818182,44.7791737,2.049167927,44.4792,0.224884856,0.342866324,,12.59047619,41,2
8,64,7.684451491,2348.484848,90.08090508,2.033282905,43.97767273,0.226916273,0.853208121,,12.54576569,41,2
9,54.47328244,7.844619374,3090.909091,126.3018264,2.019667171,43.38210909,0.229328581,1.608460994,,12.4592986,41,2
4,58.50381679,7.382683761,2212.121212,193.2988372,2.214826021,47.86450909,0.211172793,0.005685693,,12.53535768,42,2
5,71.57251908,7.336750273,2333.333333,150.854729,2.114977307,47.26894545,0.2135851,0.781340171,,12.96381844,42,2
6,64.24427481,7.28624213,2469.69697,108.4069665,2.024205749,46.57934545,0.216378298,1.255987356,,13.34754722,42,2
7,54.59541985,7.240308643,2636.363636,72.01064117,1.931164902,45.92109091,0.219044533,1.470417344,,13.79289962,42,2
5,68.15267176,7.428353326,3060.606061,150.8510747,2.128593041,47.51970909,0.211628971,0.2099116,,12.94922789,43,2
6,70.47328244,7.359519075,3212.121212,117.4841223,2.019667171,47.01818182,0.213651401,0.715164472,,13.50357508,43,2
7,60.33587786,7.281530017,3363.636364,78.06207839,1.908472012,46.42261818,0.216053036,0.909192855,,14.10933593,43,2
4,57.64885496,7.488027272,2803.030303,187.2474,2.421331316,48.64814545,0.212863364,0.005672578,,11.65399449,44,2
5,72.54961832,7.419193021,2984.848485,147.8253561,2.350983359,47.86450909,0.216111688,1.220122239,,11.80937171,44,2
6,60.82442748,7.354938922,3151.515152,111.4326851,2.280635401,47.11221818,0.219230079,2.09272205,,11.98230665,44,2
5,70.35114504,7.377971647,2681.818182,147.8290104,2.47806354,48.39738182,0.21700439,0.694618593,,11.32849373,45,2
6,60.45801527,7.318297701,2893.939394,105.3812479,2.439485628,47.5824,0.220431632,1.358034731,,11.31386047,45,2
6,55.47619048,9.300353357,1009.009009,4.498714653,1.625546397,72.79898219,0.43556461,2.253963351,,26.00492032,46,2
10,55.7979408,9.236749117,887.3873874,23.77892031,1.639057429,71.043257,0.463678696,3.7722577,,25.19309223,46,2
3,52.9021879,6.247349823,500,12.21079692,1.816278995,74.93638677,0.389548023,0.171703676,,23.06838515,47,2
6,61.97554698,5.908127208,1459.459459,5.784061697,1.838802344,71.67938931,0.440169492,0.707509142,,22.40952979,47,2
10,61.13899614,6.247349823,1675.675676,12.85347044,1.89394944,69.6692112,0.471412429,1.285773392,,21.25964132,47,2
3,53.03088803,5.717314488,594.5945946,12.21079692,1.890410269,73.74045802,0.400443459,0.076969486,,22.31553644,48,2
6,60.43114543,5.399293286,1504.504505,5.141388175,1.939510278,70.71246819,0.446618625,0.434656153,,21.33401783,48,2
10,60.94594595,5.643109541,1945.945946,4.498714653,1.988094659,68.11704835,0.486197339,0.830685379,,20.42996803,48,2
6,60.81724582,4.67844523,1644.144144,19.28020566,1.922391341,71.67938931,0.422505423,0.225647144,,21.38011258,49,2
10,56.50579151,4.869257951,2626.126126,16.70951157,1.966149716,70.3307888,0.442624729,0.443553213,,20.26088952,49,2
6,59.07979408,4.265017668,1941.441441,19.28020566,1.902700221,72.79898219,0.392190776,0.122680504,,21.05744933,50,2
10,54.8970399,4.265017668,3157.657658,8.997429306,1.94800399,70.3562341,0.427410901,0.229389662,,19.99971815,50,2
4,50,8.260183486,2019.230769,61.76066025,2.582118294,47.2333315,0.017818251,0.029767361,,10.6104837,51,2
4,50,8.621284404,2903.846154,235.0756534,2.691884457,45.73935626,0.018322736,0.133953123,,9.855901891,52,2
4,50,8.659449541,3076.923077,248.2806052,2.582118294,46.5693425,0.018042467,0.029767361,,10.46132538,53,2
