Day,T,pH,Ammonia,Nitrate,TN,OM,AR,cNH3,literature,C/N Ratio,exp_id,stage
14,48.02660754,8.218181818,4640.522876,583.518931,1.959090909,52.58533621,0.796002325,2.288264069,,15.56943326,16,3
19,40.15521064,7.663636364,4039.215686,761.6926503,1.95,52.39141364,0.799257918,2.686223037,,15.58433388,16,3
24,32.172949,7.554545455,3281.045752,1314.03118,1.990909091,52.14901043,0.803327408,2.785712779,,15.19348427,16,3
29,26.29711752,7.463636364,2862.745098,1527.839644,2.039393939,51.95508786,0.806583001,2.825508676,,14.77711652,16,3
34,20.53215078,7.381818182,2784.313725,1657.01559,2.06969697,51.7611653,0.809838593,2.865304573,,14.5064124,16,3
1,31.08058608,7.264202492,26.5654649,43.84615385,1.869662921,76.76363636,0.11155734,0,"Pan, J., et al., Comparative evaluation of the use of acidic additives on sewage sludge composting quality improvement, nitrogen conservation, and greenhouse gas reduction. Bioresource Technology, 2018. 270: p. 467-475.",23.81524001,17,1
3,40.14652015,8.385761366,325.426945,23.84615385,1.728089888,74.61818182,0.121857626,0.205546493,,25.04615548,17,1
5,54.34065934,8.88346422,1261.859583,4.615384615,1.624719101,72.65454545,0.131285007,0.893964111,,25.93864242,17,2
10,61.57509158,8.387170283,690.7020873,2.307692308,1.657303371,69.96363636,0.144204011,1.526916803,,24.48686003,17,2
15,53.79120879,8.29775921,225.8064516,10,1.725842697,69.16363636,0.148044795,1.569331158,,23.24552441,17,2
21,41.97802198,8.235656616,92.97912713,18.46153846,1.878651685,68.76363636,0.149965188,1.585644372,,21.23123743,17,3
28,29.61538462,8.354605932,59.77229602,85.38461538,1.95505618,67.2,0.157472176,1.618270799,,19.93759501,17,3
36,25.49450549,8.202504196,26.5654649,163.8461538,1.978651685,65.6,0.165153746,1.628058728,,19.23079457,17,3
45,24.94505495,8.267620646,13.28273245,296.9230769,1.979775281,65.49090909,0.165677489,1.634584013,,19.18791828,17,3
1,31.08058608,6.757899122,26.5654649,49.23076923,1.771910112,77.85454545,0.11155734,0,,25.48619639,18,1
3,48.38827839,7.445450425,491.4611006,26.92307692,1.738202247,73.92727273,0.131340908,0.006525285,,24.6698845,18,1
5,58.18681319,8.105889271,1554.079696,24.61538462,1.747191011,71.89090909,0.141599054,0.221859706,,23.86691725,18,2
10,57.54578755,7.844663882,969.6394687,43.84615385,1.76741573,70.61818182,0.148010395,1.004893964,,23.17611058,18,2
15,56.35531136,7.827585362,511.3851992,66.15384615,1.841573034,69.63636364,0.152956287,1.15497553,,21.93359783,18,2
21,31.53846154,7.89208924,332.0683112,146.9230769,1.905617978,68.72727273,0.157535817,1.168026101,,20.91972675,18,3
28,26.86813187,8.26419024,192.5996205,233.8461538,1.951685393,67.63636364,0.163031252,1.187601958,,20.10171804,18,3
36,25.67765568,8.301961457,86.33776091,286.1538462,1.979775281,66.8,0.167244419,1.194127243,,19.57146356,18,3
45,25.03663004,8.376119476,39.84819734,370.7692308,1.991011236,66,0.171274405,1.194127243,,19.22794907,18,3
1,31.08058608,6.577055487,26.5654649,41.53846154,1.839325843,76.94545455,0.11155734,0,,24.26537656,19,1
3,54.7985348,7.020484422,571.1574953,16.92307692,1.783146067,74.43636364,0.123698439,0.013050571,,24.2136894,19,2
5,58.55311355,7.644769244,1866.223909,6.153846154,1.821348315,71.52727273,0.137775074,0.091353997,,22.77935361,19,2
10,60.01831502,7.293152665,1394.686907,52.30769231,1.853932584,68.8,0.150971921,0.691680261,,21.52569781,19,2
15,55.34798535,7.41167318,929.7912713,90.76923077,1.904494382,66.72727273,0.161001524,0.763458401,,20.3229345,19,2
21,42.43589744,7.358636659,664.1366224,127.6923077,2.003370787,66.32727273,0.162937061,0.766721044,,19.20408158,19,3
28,29.70695971,7.703612952,405.1233397,245.3846154,2.059550562,65.67272727,0.166104304,0.7862969,,18.49589419,19,3
36,25.03663004,7.895103096,199.2409867,296.1538462,2.124719101,64.87272727,0.169975379,0.789559543,,17.7101962,19,3
45,25.03663004,8.258579077,19.92409867,353.8461538,2.129213483,64.29090909,0.172790706,0.789559543,,17.51431263,19,3
1,31.08058608,6.938718253,26.5654649,48.46153846,1.804494382,76,0.11155734,0,,24.42984978,20,1
3,53.05860806,5.383972655,863.3776091,30,1.838202247,74.18181818,0.120008654,0.003262643,,23.40814071,20,2
5,59.1025641,4.670092988,1653.70019,18.46153846,1.856179775,72.87272727,0.126093599,0.07177814,,22.77234347,20,2
10,61.11721612,4.598752803,2849.14611,7.692307692,1.887640449,70.83636364,0.135559071,0.140293638,,21.76705738,20,2
15,53.42490842,5.033752741,3068.311195,5.384615385,1.964044944,69.16363636,0.143334279,0.156606852,,20.42627317,20,2
21,36.94139194,5.143452213,2756.166983,5.384615385,1.971910112,68.14545455,0.148067015,0.163132137,,20.045298,20,3
28,27.41758242,5.443232912,2218.216319,23.07692308,1.997752809,66.87272727,0.153982934,0.169657423,,19.41645873,20,3
36,25.31135531,6.032527596,1686.907021,55.38461538,2.03258427,66.10909091,0.157532486,0.172920065,,18.86580596,20,3
45,25.03663004,6.459294562,1454.459203,119.2307692,2.04494382,65.78181818,0.159053723,0.169657423,,18.65895126,20,3
1,31.08058608,6.134018598,26.5654649,55.38461538,1.807865169,74.50909091,0.11155734,0,,23.90594773,21,1
3,51.31868132,6.342378986,757.1157495,25.38461538,1.846067416,72.58181818,0.119991775,0.006525285,,22.80567993,21,2
5,59.74358974,6.577864082,1965.844402,18.46153846,1.871910112,71.81818182,0.123333721,0.022838499,,22.25420858,21,2
10,58.91941392,6.786812541,1886.148008,14.61538462,1.874157303,69.6,0.133041279,0.16639478,,21.54100386,21,2
15,53.88278388,7.077147373,1673.624288,13.84615385,1.906741573,68.76363636,0.136701505,0.182707993,,20.91846139,21,2
21,34.01098901,7.177805275,1348.197343,10,1.985393258,67.6,0.141793994,0.185970636,,19.74980862,21,3
28,26.95970696,7.152077233,962.9981025,32.30769231,2.008988764,66.07272727,0.148477886,0.189233279,,19.07688511,21,3
